navi_usage/hours,radio_usage/hours,ac_usage/hours,drive_time/hours,number_occupants,driver_age,call_time/hours,trips_num,speed,target,cooling/hours,id,body_style_A-Class,body_style_AMG GT,body_style_B-Class,body_style_CLA,body_style_CLS,body_style_E-Class,body_style_GLA/GLB,body_style_GLC,body_style_GLE,body_style_GLS,class_Convertible,class_Coupé,class_Hatch,class_MPV,class_SUC,class_SUV,class_Sedan,class_Shooting Brake,class_Wagon,country_AU,country_CA,country_JP,country_KR,country_MX,country_NZ,country_TW,country_US
2.3211,8.7747,5.2037,27.5987,2,52,0.0,52.0,68.77,1,5.2234,f9d93535-2d60-4c28-a005-ae81ed624b1c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18.3806,14.5048,6.1282,32.5205,2,43,2.6099,46.0,94.68,1,6.3668,626ea488-d21c-41a6-bcbc-dd206592d68e,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12.5161,8.5458,7.4493,27.3817,2,39,1.0485,45.0,80.09,1,7.6,12c4a07b-04b3-4f1f-a6e2-561447a758cb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3.7623,9.612,11.6981,28.3768,2,29,1.5291,40.0,79.65,1,11.8916,9991ac06-e3d0-4138-9221-85a67ce9fbb3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6.3863,2.9142,4.3846,21.2607,2,45,1.4989,44.0,75.51,1,4.441,776c06f9-1264-469c-a70b-8ae86c3c1592,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11.5521,11.4993,0.9274,30.0496,2,73,0.0,42.0,68.49,1,1.0463,cfd670c4-2668-47e4-8c76-421ed54ca060,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5.144,2.9626,2.4128,21.322,2,44,3.674,61.0,86.13,1,2.6891,fd0c4701-b2ae-4379-8e7f-957fac5d7870,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.4606,5.3531,4.7199,24.1273,2,50,0.4595,46.0,71.78,1,4.7297,c5c03046-ec30-481b-a7c2-5c253c880537,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11.8334,15.5881,8.5141,33.3623,2,43,0.6005,44.0,84.12,1,8.7749,524fe8d6-3caf-467f-a956-303f2642761d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11.1728,9.1791,3.6521,27.9775,2,62,0.0,39.0,70.52,1,3.9497,0984a9a6-0e76-447f-8c4b-23965f09ccc5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10.5988,15.9797,8.3664,33.6609,2,38,2.6561,47.0,93.71,1,8.6585,90471b86-33e9-4c95-a0b5-b375e895e6a0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11.6246,10.857,9.0315,29.492,2,40,1.6746,36.0,84.48,1,9.1804,938c76e8-5139-4e4f-ace4-2d9476cd7417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11.3637,5.8849,3.3689,24.7029,2,49,1.3791,50.0,80.41,1,3.4928,21a98143-b7e9-4fa9-94d6-ccd2615ebaff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11.4786,10.9426,5.9637,29.567,2,51,0.6495,39.0,80.51,1,6.1039,2b6b74bc-0ba9-4b82-a927-d3e6ba346b4a,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.594,0.0,2.9297,15.2241,2,48,0.6714,36.0,63.82,1,2.9977,34663d96-6a00-4282-92e9-28aee07172fd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.1725,11.3607,8.0987,29.9303,2,48,0.2873,41.0,74.83,0,8.3978,a4cd438e-66fc-4ceb-ab1a-6b0b13bfd012,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.888,6.0535,8.2561,24.8822,2,44,0.1725,35.0,67.74,1,8.4636,8fa9d59f-994b-4b19-9e3a-bc71236c8262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8.5286,5.0891,7.2062,23.8358,2,37,2.6201,39.0,82.51,1,7.4159,041b359e-a291-4afb-aa40-988ccf637c78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.4232,1.6815,10.1845,19.6282,2,30,0.5366,15.0,62.73,1,10.4162,32ff4548-502f-4bfb-b50d-b60e1e480b4c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4.0767,6.517,6.1073,25.3679,2,54,0.0,37.0,64.14,1,6.2612,ee489de8-1c95-4356-a0e7-73b8824f59d2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3.8231,4.6165,4.0356,23.3036,2,45,0.6495,50.0,84.89,0,4.2869,15d532cb-e626-4cad-9602-8c7f959a2a28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.6715,17.8629,8.6269,35.0588,2,51,0.0,40.0,73.86,1,8.7286,706c0ecc-322b-49cb-a6db-ec1f74e5ed5c,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.7803,14.1299,4.0317,32.2235,2,67,0.0,38.0,68.2,1,4.2698,9f397c64-3ba2-427d-96fd-056e4eb29bd3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.8284,0.0,1.592,16.3005,2,50,1.0943,52.0,69.45,1,1.6972,3f595064-241d-4355-b00e-2e7d706df68b,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
